Date,positive,negative,naver_trend
2020-01-01,0,0,3.94921
2020-01-02,0,0,4.1182
2020-01-03,0,0,4.239
2020-01-04,0,0,4.23541
2020-01-05,0,0,4.85598
2020-01-06,0,0,4.6212
2020-01-07,0,0,4.76466
2020-01-08,0,0,5.37552
2020-01-09,0,0,4.90236
2020-01-10,0,0,4.94623
2020-01-11,0,0,4.06714
2020-01-12,0,0,3.73097
2020-01-13,0,0,3.95173
2020-01-14,0,0,6.67886
2020-01-15,0,0,5.24572
2020-01-16,0,0,4.9678
2020-01-17,0,0,4.48817
2020-01-18,0,0,5.51143
2020-01-19,0,0,4.48673
2020-01-20,0,0,4.15164
2020-01-21,0,0,4.1635
2020-01-22,0,0,4.97319
2020-01-23,0,0,5.86737
2020-01-24,0,0,4.77544
2020-01-25,0,0,5.08789
2020-01-26,0,0,4.15235
2020-01-27,0,0,4.06067
2020-01-28,0,0,4.54354
2020-01-29,0,0,4.71612
2020-01-30,0,0,30.11997
2020-01-31,0,0,6.59689
2020-02-01,0,0,4.36772
2020-02-02,0,0,3.99488
2020-02-03,0,0,4.5856
2020-02-04,0,0,96.70586
2020-02-05,17.02127,0,56.60965
2020-02-06,0,0,21.39423
2020-02-07,0,0,9.6023
2020-02-08,0,0,6.29092
2020-02-09,0,0,5.82818
2020-02-10,0,0,7.86499
2020-02-11,0,0,9.97048
2020-02-12,0,0,8.70525
2020-02-13,0,0,7.4979
2020-02-14,0,0,7.74778
2020-02-15,0,0,6.2377
2020-02-16,0,0,6.56165
2020-02-17,0,0,6.13703
2020-02-18,0,0,6.45127
2020-02-19,0,0,8.90983
2020-02-20,0,0,7.70859
2020-02-21,0,0,6.18305
2020-02-22,0,0,4.84951
2020-02-23,0,0,4.29797
2020-02-24,0,0,4.82722
2020-02-25,0,0,5.36401
2020-02-26,0,0,5.42693
2020-02-27,0,0,5.07278
2020-02-28,0,0,5.88391
2020-02-29,0,0,4.62443
2020-03-01,0,0,4.20665
2020-03-02,0,0,5.33921
2020-03-03,0,0,6.53001
2020-03-04,0,0,6.27725
2020-03-05,0,0,7.20487
2020-03-06,0,0,6.15573
2020-03-07,0,0,5.64266
2020-03-08,0,0,5.54918
2020-03-09,0,0,6.57747
2020-03-10,0,0,6.98411
