챔피언,승률(%),픽률(%),밴율(%),플레이수
징크스,50.06,21.71,10.92,"5,693,301"
이즈리얼,48.96,21.03,8.26,"5,515,751"
진,52.12,21.03,7.21,"5,515,651"
럭스,50.35,18.29,14.32,"4,798,340"
야스오,48.56,16.04,20.39,"4,207,368"
카직스,51.15,14.56,33.01,"3,818,401"
카이사,48.69,14.38,2.17,"3,770,568"
미스 포츈,51.14,13.58,3.3,"3,561,429"
쓰레쉬,49.74,13.54,6.05,"3,552,392"
요네,48.73,13.21,9.26,"3,465,821"
아리,50.52,13.19,8.16,"3,459,295"
케이틀린,48.43,12.66,8.8,"3,320,787"
사일러스,49.16,11.93,13.14,"3,128,938"
루시안,49.76,11.1,3.98,"2,910,492"
아펠리오스,48.34,11.06,3.7,"2,901,558"
마스터 이,49.98,10.96,26.56,"2,874,289"
케인,49.59,10.94,10.26,"2,870,473"
말파이트,51.06,10.83,17.14,"2,841,597"
제드,48.97,10.78,34.86,"2,826,660"
노틸러스,49.82,10.76,13,"2,821,528"
아무무,53.28,10.26,7.28,"2,690,492"
밀리오,52.13,10.26,15.15,"2,690,346"
리 신,47.13,10.19,7.4,"2,673,706"
잭스,50.12,9.77,12.94,"2,562,363"
판테온,49.95,9.76,6.3,"2,560,685"
세나,50,9.36,3.66,"2,453,947"
룰루,48.05,9.24,7,"2,423,190"
베인,48.63,9.15,6.04,"2,399,007"
애쉬,48.11,9.06,1.7,"2,376,220"
카타리나,48.06,9.01,13.37,"2,363,626"
샤코,49.52,8.92,25.65,"2,338,391"
베이가,50.93,8.89,5.69,"2,331,870"
모데카이저,51.66,8.73,14.09,"2,289,351"
블리츠크랭크,50.35,8.71,31.44,"2,284,086"
니코,48.48,8.58,19.05,"2,249,644"
모르가나,49.44,8.45,25.45,"2,216,987"
유미,49.63,8.41,12.3,"2,205,847"
가렌,51.62,8.19,2.99,"2,148,098"
자야,49.81,8.14,4.83,"2,136,174"
그레이브즈,50.12,8.07,3.69,"2,116,504"
케일,51.43,8.07,5.95,"2,115,343"
에코,50.11,7.98,3.56,"2,093,712"
다리우스,48.68,7.9,20.63,"2,072,028"
이렐리아,49.61,7.88,15.13,"2,066,099"
트리스타나,49.15,7.73,3.88,"2,028,048"
코그모,52.42,7.63,13.95,"2,001,488"
제라스,51.68,7.55,7.39,"1,979,926"
바루스,49.43,7.46,1.62,"1,957,581"
녹턴,51.88,7.26,7.19,"1,905,037"
티모,50.42,7.18,9.27,"1,881,997"
파이크,48.85,7.07,12.26,"1,854,593"
세트,50.24,6.94,3.37,"1,819,109"
아칼리,48.03,6.92,7.88,"1,816,224"
그라가스,48.38,6.86,2.48,"1,799,122"
사이온,51.25,6.84,3.96,"1,793,351"
아우렐리온 솔,52.29,6.78,14.36,"1,778,801"
피즈,51.66,6.76,9.42,"1,773,652"
제리,49.61,6.76,4.3,"1,773,168"
워윅,50.71,6.76,5.17,"1,772,718"
스웨인,51.11,6.75,3.22,"1,770,640"
자르반 4세,51.84,6.72,4.93,"1,761,832"
비에고,48.8,6.68,2.09,"1,752,329"
오른,51.93,6.65,2.88,"1,742,931"
트위치,49.66,6.58,5.93,"1,726,911"
헤카림,49.6,6.55,12.62,"1,718,009"
사미라,49.16,6.4,16.29,"1,678,908"
바이,50.98,6.39,2.91,"1,676,969"
마오카이,51.86,6.31,1.45,"1,655,739"
크산테,44.59,6.13,4.13,"1,607,578"
